Gene	Parameter1	Parameter2
A1BG	1.09703628636967	249142
A1CF	24.7780837743241	255722
A2M	86.3892554956399	257146
A2ML1	89.8205097534103	256870
A3GALT2	0	257172
A4GALT	110.653866784739	258098
A4GNT	91.8171508429598	258232
AAAS	278.000201982621	256092
AACS	88.5887663020587	257588
AADAC	17.7223574278718	257082
AADACL2	26.4771069824481	256722
AADACL3	0.409669885035031	256892
AADACL4	40.832900956863	258214
AADAT	44.7554604434655	256860
AAED1	5.19919551417681	256878
AAGAB	38.848099471119	256808
AAK1	16.1499003585458	255804
AAMDC	66.0478089217356	256952
AAMP	7.88171071022165	257170
AANAT	18.4797513006831	255824
AAR2	18.5154753670769	256054
AARD	0	257172
AARS	326.980704940567	255872
AARS2	263.336217682703	257910
AARSD1	8.11950850850742	155368
AASDH	92.3816638501199	255846
AASDHPPT	30.2115678554338	256964
AASS	197.635929064052	256854
AATF	38.1634650070925	256072
AATK	124.126134900742	257388
ABAT	128.716674639526	257910
ABCA1	898.936020830801	258232
ABCA10	287.292062397871	258114
ABCA12	839.953654120859	256868
ABCA13	1021.99010465939	255834
ABCA2	602.314732769264	257070
ABCA3	770.449203180394	257772
ABCA4	1062.08732866591	258230
ABCA5	378.016829332508	257656
ABCA6	445.68285510583	255812
ABCA7	1248.04637393636	257148
ABCA8	417.489385424207	256870
ABCA9	398.711218088079	256948
ABCB1	556.612604793956	258218
ABCB10	188.566877533675	255864
ABCB11	537.19908758956	257860
ABCB4	416.293961728373	257548
ABCB5	672.454574451629	257906
ABCB6	410.110417982139	257912
ABCB8	398.660176062269	255830
ABCB9	428.178425175759	257172
ABCC1	681.526129908739	257152
ABCC10	660.003768744123	256888
ABCC11	720.987242139462	258230
ABCC12	702.194552385935	257910
ABCC2	832.441286170819	257172
ABCC3	753.025746523809	257772
ABCC4	513.073550989246	257896
ABCC5	378.634291315591	257130
ABCC6	807.750231566208	257592
ABCC8	703.926039006092	258232
ABCC9	427.498368858126	258228
ABCD2	274.845517293035	255868
ABCD3	384.899686047888	255734
ABCD4	410.125989976981	257166
ABCE1	101.026361990518	258158
ABCF1	153.78588757987	257166
ABCF2	215.70422761793	257172
ABCF3	474.378056238118	257772
ABCG1	189.00533929154	258232
ABCG2	208.81243136863	255776
ABCG4	113.229917422103	257586
ABCG5	148.593818128318	256992
ABCG8	178.472472346541	257906
ABHD1	48.5505404794153	257170
ABHD10	29.7379581873818	256042
ABHD11	87.094282808556	258118
ABHD12	7.33988945706684	256982
ABHD12B	11.2965728542653	256844
ABHD13	3.28723957351717	254842
ABHD14A	11.5186842811412	256022
ABHD14A-ACY1	3.34261759215826	256892
ABHD14B	36.8046885253664	256920
ABHD15	36.5315003831223	257718
ABHD16A	4.01842319510456	254026
ABHD16B	12.9203912760153	252710
ABHD17A	11.5108570439102	256292
ABHD17B	7.78133089313897	256900
ABHD17C	1.04089815601867	257172
ABHD2	1.66471508119257	258208
ABHD3	37.1429032809913	257032
ABHD4	112.772898914967	257146
ABHD5	66.0722306952214	256876
ABHD6	105.44636969082	257908
ABHD8	1.87772011723771	255360
ABI1	90.2210822578592	257120
ABI2	114.608104988075	257124
ABI3	52.820040918607	258088
ABI3BP	17.6067731024192	256614
ABL1	63.3267661842018	257172
ABL2	124.056112543349	255870
ABLIM1	129.934967269286	257166
ABLIM2	206.46543780074	257744
ABLIM3	176.346476464073	256882
ABR	14.1821169239519	257740
ABRA	152.243688205719	258232
ABRACL	0	257172
ABT1	8.42856272341979	255822
ABTB1	71.8750907513491	256986
ABTB2	97.1410944303227	257832
ACAA1	232.016682567202	258230
ACAA2	257.343334194531	257166
ACACA	438.116987444451	257170
ACACB	936.527214557744	257910
ACAD10	546.484814042015	256092
ACAD11	347.780931144408	258058
ACAD8	336.385963735494	256890
ACAD9	492.417163934172	258232
ACADL	284.652536188757	257706
ACADM	347.718380853336	257550
ACADS	374.493459782985	256992
ACADSB	300.174643857332	255856
ACADVL	505.106251826477	256992
ACAN	197.504054846194	257138
ACAP1	44.9728408483494	256992
ACAP2	35.263515628232	255728
ACAP3	32.6376741280972	254952
ACAT1	208.622902378801	258216
ACAT2	117.051003685138	257124
ACBD3	8.51085104718418	256066
ACBD4	6.07736243901452	257088
ACBD5	78.8218895607429	256990
ACBD6	20.6098559370344	256946
ACBD7	0	256892
ACCS	136.346744522263	257906
ACCSL	138.344858455266	257140
ACD	0.0084335342894866	255872
ACE	233.694680834726	257172
ACER1	17.6183763257707	256756
ACER2	15.4236279098097	257134
ACER3	3.7242163985493	257120
ACHE	26.6805707172671	255466
ACIN1	0.18565587129457	257772
ACKR2	22.554034732062	256072
ACKR3	11.992242337205	257122
ACKR4	13.7730588249201	256772
ACLY	374.029029853002	257908
ACMSD	128.474140564194	257156
ACN9	11.4079638142705	257810
ACO1	161.043504164147	257170
ACO2	118.123608109198	256084
ACOT1	10.2886844114385	192790
ACOT11	143.729951046159	255836
ACOT12	32.1570470143877	257770
ACOT13	4.14711344960106	256866
ACOT2	72.2554825333182	256474
ACOT4	67.8382884610296	255870
ACOT6	13.2536300815417	256908
ACOT7	8.65238561871386	257616
ACOT8	97.6355183040859	257118
ACOX1	106.341589781734	257172
ACOX2	165.21628476233	255868
ACOX3	287.375307584522	258232
ACOXL	164.581058110428	255866
ACP1	4.40570949875996	257758
ACP2	21.4169682843226	257764
ACP5	53.9453666766011	258230
ACP6	9.64413811451756	257128
ACPL2	59.4379987060804	256986
ACPP	36.7314222676777	258120
ACR	117.905474287516	257120
ACRBP	9.83327392081747	257166
ACRV1	0.00214455232564055	257912
ACSBG1	29.4007856900995	257750
ACSBG2	49.7502323416642	255810
ACSF2	64.0530352933719	257172
ACSF3	84.1943662494998	257584
ACSL1	31.6557553440991	257906
ACSL3	43.6546571478282	257666
ACSL5	53.7016039618279	255856
ACSL6	62.6617470758676	257100
ACSM1	50.0127538278309	258214
ACSM2A	55.0489782815729	257582
ACSM2B	34.0639245425592	257840
ACSM3	62.3468220216529	258138
ACSM4	39.9429238450631	258110
ACSM5	64.1420729014768	258192
ACSS1	79.3430868459934	257904
ACSS2	90.6534887744224	257160
ACSS3	111.475501675524	257082
ACTA1	77.4783915381977	257172
ACTA2	131.008945172341	258112
ACTB	23.3541469843804	255868
ACTBL2	283.583349450598	255678
ACTC1	71.6855109190824	256092
ACTG1	88.0733906428362	256940
ACTG2	135.572715803353	255866
ACTL10	66.1971823485097	253760
ACTL6A	168.334905077484	258216
ACTL6B	158.769125411927	258192
ACTL7A	267.988134580709	258220
ACTL7B	196.213446404813	256672
ACTL8	139.883628340206	257170
ACTL9	196.570601785949	255204
ACTN1	180.179845540141	257906
ACTN2	182.618551091976	256092
ACTN4	150.191700827413	256092
ACTR10	210.524066983526	257122
ACTR1A	88.7279317569166	256890
ACTR1B	241.602321346828	257592
ACTR2	65.584642023914	257162
ACTR3	55.6172811167447	258014
ACTR3B	74.8089671447608	258226
ACTR3C	77.6260827624674	255824
ACTR5	388.002380345751	256992
ACTR6	204.084409946958	255872
ACTR8	331.005461192021	258230
ACTRT2	290.524179925645	256874
ACTRT3	163.333976977807	256888
ACVR1	113.406959657536	257498
ACVR1B	119.37600829384	257768
ACVR1C	130.700688000703	256972
ACVR2A	54.4827484169193	257806
ACVR2B	176.715806000346	257168
ACVRL1	103.234567097867	257172
ACY1	4.24554700712507	258232
ACY3	225.902241524301	257542
ACYP1	14.2580944537558	255870
ACYP2	8.2576567142734	257988
ADA	209.269576186205	258232
ADAD1	169.296354146011	256746
ADAD2	300.552696862088	255420
ADAL	117.756865180839	256884
ADAM10	25.4139986053206	257862
ADAM11	10.6063860912948	256862
ADAM12	143.551900477115	257152
ADAM15	38.1577248850389	255866
ADAM17	42.4340591165103	255856
ADAM18	84.6137709187011	257778
ADAM19	103.10877576674	258220
ADAM2	86.6010242647684	258200
ADAM20	36.1352979466544	257472
ADAM21	31.2675068942516	256064
ADAM22	24.4645636137271	257086
ADAM23	9.18916747411218	256050
ADAM28	102.028147738136	257494
ADAM29	15.6080936962009	256894
ADAM30	35.8577072851891	256884
ADAM32	42.3881503469439	256484
ADAM33	36.3829656406296	256030
ADAM7	40.2832385526178	256634
ADAM8	0	257592
ADAM9	35.2477736695273	257158
ADAMDEC1	49.9942032093264	258094
ADAMTS1	110.299789073607	256092
ADAMTS10	69.3509055676387	256086
ADAMTS12	224.301462701214	257100
ADAMTS13	252.353799314163	255872
ADAMTS14	315.125568564378	255870
ADAMTS15	202.649857696514	258198
