Gene	Parameter1	Parameter2
A1BG	49.9365877793797	254804
A1CF	62.7750008866723	253904
A2M	68.6385356587369	254588
A2ML1	202.343481593448	254458
A3GALT2	45.6221977930724	251306
A4GALT	35.4206852511312	254708
A4GNT	18.4810151039191	254052
AAAS	88.7372513800764	254320
AACS	74.4603387669588	254322
AADAC	50.7149617437893	254322
AADACL2	58.0898787143593	254392
AADACL3	3.55924899032468	254376
AADACL4	24.6224984224284	254670
AADAT	17.950472018459	254056
AAED1	30.4085086868666	254542
AAGAB	42.9684040752499	254264
AAK1	8.30673856265731	254144
AAMDC	23.3590982377351	254566
AAMP	6.05690368772646	254276
AANAT	9.39007555388271	254064
AAR2	45.4789803306433	254044
AARD	9.36439069573279	254398
AARS	71.5383340611805	254142
AARS2	93.906078053316	254842
AARSD1	1.81327459605262	152588
AASDH	137.768835225852	254054
AASDHPPT	42.8525096273177	254446
AASS	72.8611931649208	254574
AATF	52.4061085844118	254318
AATK	32.0605120567515	253392
ABAT	23.3811482681598	254594
ABCA1	93.0549463669159	254322
ABCA10	191.456353553579	254258
ABCA12	136.731068857409	254136
ABCA13	523.564575509332	254808
ABCA2	34.9190728218855	254110
ABCA3	46.8608925274245	254102
ABCA4	189.343093015843	254340
ABCA5	121.786713814823	254018
ABCA6	201.400367890479	254786
ABCA7	314.021843494549	253974
ABCA8	203.605416114841	254648
ABCA9	256.08460148419	254812
ABCB1	41.0672617987956	254624
ABCB10	56.3777580597828	254832
ABCB11	71.8204067609092	254216
ABCB4	51.9207592995377	254084
ABCB5	212.662441674719	254836
ABCB6	217.30371691157	254842
ABCB8	61.6717381111127	254554
ABCB9	41.3406019739256	254672
ABCC1	46.9552049836731	254036
ABCC10	117.968315846503	254482
ABCC11	176.744190435365	254134
ABCC12	204.667498797594	254050
ABCC2	246.437306723934	254322
ABCC3	196.027242527454	254322
ABCC4	87.2042814622778	254596
ABCC5	34.6375504782331	254430
ABCC6	159.303788351913	254588
ABCC8	91.8152733673239	254840
ABCC9	87.6740270903869	254418
ABCD2	24.2891809277377	254466
ABCD3	33.6816266104283	254412
ABCD4	86.8099498116452	254128
ABCE1	25.9106968978104	254030
ABCF1	57.5926401719475	254046
ABCF2	19.9251182837161	254824
ABCF3	24.6180779093557	254100
ABCG1	33.4622351645665	254322
ABCG2	124.92773692394	254758
ABCG4	44.2302879713841	254336
ABCG5	85.4574450185257	254840
ABCG8	113.410198849751	254584
ABHD1	111.925950046844	254142
ABHD10	31.9238042159492	254604
ABHD11	23.7666635781594	253992
ABHD12	65.3708924588967	254476
ABHD12B	74.852243493655	254588
ABHD13	2.56721145118351	252652
ABHD14A	20.6813453103788	254418
ABHD14A-ACY1	1.09311394538588	254342
ABHD14B	22.4186578792862	254584
ABHD15	73.9200024264891	254296
ABHD16A	28.7747455939532	251258
ABHD16B	61.6456059583469	248830
ABHD17A	9.41734770220609	252732
ABHD17B	4.71696603898291	253964
ABHD17C	1.56509656310044	234442
ABHD2	9.93819631466126	254744
ABHD3	53.9948655518477	254330
ABHD4	43.0963104677967	254128
ABHD5	30.2215760748931	254308
ABHD6	22.7425801136503	254476
ABHD8	22.8127877537851	254086
ABI1	7.32869155361437	254530
ABI2	13.0616289987138	253964
ABI3	30.6968787678315	253874
ABI3BP	93.2074102670896	254396
ABL1	14.0892699696533	254186
ABL2	56.4510165373574	254094
ABLIM1	25.4516701385014	254578
ABLIM2	50.4789919420595	254572
ABLIM3	30.4464280325754	254608
ABR	33.0554292044203	254134
ABRA	37.8113394580111	254838
ABRACL	3.2921231813664	254456
ABT1	27.3747517268239	254024
ABTB1	92.2926181169065	254132
ABTB2	20.7398669596648	254108
ACAA1	49.9789553188311	254096
ACAA2	49.9738183592023	254286
ACACA	43.1454611540837	254132
ACACB	255.728615966687	254590
ACAD10	145.924130714985	254342
ACAD11	123.17024479611	254382
ACAD8	64.3994113295451	254588
ACAD9	73.6008894708089	254672
ACADL	77.292619059112	254376
ACADM	94.0940018223983	254000
ACADS	67.9119674187284	254812
ACADSB	21.0098868270129	254642
ACADVL	87.683839253369	254592
ACAN	24.7231475928571	254036
ACAP1	45.3611409732252	254602
ACAP2	14.5230062498102	254330
ACAP3	23.9026369169126	253774
ACAT1	51.9076971477341	254464
ACAT2	40.7423439494338	254772
ACBD3	17.4536856916771	254116
ACBD4	49.0898208532286	254286
ACBD5	23.4539868319082	254652
ACBD6	24.6696128850177	253998
ACBD7	6.27886980478209	254238
ACCS	27.9729675293747	254044
ACCSL	79.2652472489928	254640
ACD	85.3171331142594	254300
ACE	121.905927409124	254052
ACER1	25.5491754334224	254296
ACER2	16.7208644158073	254600
ACER3	8.91401841568496	254026
ACHE	5.51079707986871	254044
ACIN1	32.671384600134	254040
ACKR2	46.409981365344	254574
ACKR3	4.43257130647183	254816
ACKR4	14.5088175702387	253740
ACLY	50.650373918867	254100
ACMSD	40.8842585828998	254126
ACN9	18.3132886428113	254046
ACO1	90.4770648221201	254340
ACO2	23.6429374024653	254830
ACOT1	12.5747638674223	228192
ACOT11	103.576318874224	254060
ACOT12	67.6435546888188	254838
ACOT13	27.3883975063376	254482
ACOT2	26.7370771487669	254448
ACOT4	58.6375968969663	254842
ACOT6	19.2511722509583	254048
ACOT7	9.05102587830676	253624
ACOT8	67.92650819094	254008
ACOX1	24.7120171413608	254140
ACOX2	79.424166442312	254588
ACOX3	86.7797794658473	254842
ACOXL	76.6430072586422	254668
ACP1	33.6492389573856	254586
ACP2	77.0891134114183	254592
ACP5	17.6879083511604	254842
ACP6	46.927380567667	254590
ACPL2	22.7078945394088	254134
ACPP	69.136229026641	254272
ACR	18.1426184290767	254562
ACRBP	104.471935615831	254318
ACRV1	38.5528052641342	254432
ACSBG1	37.2920730989243	254096
ACSBG2	79.5423061556184	254342
ACSF2	57.4880270718208	254096
ACSF3	128.127707068184	254140
ACSL1	30.3278661639971	254514
ACSL3	17.7751970315995	254274
ACSL5	58.7985260323853	254598
ACSL6	35.0534939463059	254660
ACSM1	68.7245531759463	254650
ACSM2A	94.9556415916586	254596
ACSM2B	72.8100585622738	254124
ACSM3	111.666538210482	254388
ACSM4	96.6742004141049	254514
ACSM5	115.402811643771	254104
ACSS1	32.5787654019011	254656
ACSS2	57.892525077063	254798
ACSS3	51.7050117405395	254482
ACTA1	43.700871925808	254316
ACTA2	6.80687860573147	253722
ACTB	1.57718439335151	254764
ACTBL2	61.6539614145972	254226
ACTC1	9.57039037510584	254590
ACTG1	9.76952403654252	254786
ACTG2	11.7636461153412	254302
ACTL10	29.3328414746816	251508
ACTL6A	3.99688614795315	253810
ACTL6B	33.4130409227698	254270
ACTL7A	54.6523694033962	254464
ACTL7B	19.4189575167004	253784
ACTL8	23.6433112462805	254658
ACTL9	25.525522305249	253832
ACTN1	11.2535312524514	254038
ACTN2	33.0150925263221	254336
ACTN4	9.10944336083494	254634
ACTR10	29.1612829273068	254472
ACTR1A	5.44873471391491	254606
ACTR1B	34.2740020109202	254480
ACTR2	1.38380387381429	254322
ACTR3	1.11420050155943	246536
ACTR3B	2.25238977961185	254264
ACTR3C	12.5644979052456	253686
ACTR5	66.1966837467077	254672
ACTR6	38.1160729879109	254460
ACTR8	94.9887686478553	254310
ACTRT2	21.3647095510209	254054
ACTRT3	21.4497293266098	254668
ACVR1	15.2498141079053	254480
ACVR1B	6.48669978344077	254640
ACVR1C	17.3190872830785	254324
ACVR2A	9.07856376697417	252466
ACVR2B	8.33966582786382	254662
ACVRL1	11.0837582469925	254784
ACY1	1.2413922010037	254602
ACY3	45.694142023085	254790
ACYP1	8.29445271019494	254650
ACYP2	10.3749853386092	254400
ADA	39.9674021916821	254322
ADAD1	27.2650701597913	254262
ADAD2	88.0155813494326	253382
ADAL	44.7455598787309	254134
ADAM10	7.91832993417925	254562
ADAM11	23.3404370573246	254110
ADAM12	52.3782386226755	254664
ADAM15	95.4956707092974	254310
ADAM17	44.9394974830339	254828
ADAM18	84.5104807284388	254060
ADAM19	44.6232997120079	254340
ADAM2	118.691424586543	254626
ADAM20	60.9722436442358	254306
ADAM21	75.9859298438523	254578
ADAM22	39.0490277510552	254652
ADAM23	13.2180021566177	254114
ADAM28	107.009861462781	254440
ADAM29	89.0268949866082	254014
ADAM30	104.269754934121	254658
ADAM32	78.9696432911412	253808
ADAM33	58.943843863302	254040
ADAM7	100.797144078137	254240
ADAM8	123.130771751345	254048
ADAM9	35.1949146742344	254436
ADAMDEC1	76.2723833119604	254452
ADAMTS1	28.8044906296295	254590
ADAMTS10	22.6701758471829	254480
ADAMTS12	97.2487850041656	254646
ADAMTS13	73.9388837717917	254316
ADAMTS14	99.926414080291	254134
ADAMTS15	39.8232580057959	254524
ADAMTS16	71.0486726444946	254806
ADAMTS17	66.3727577238541	254832
ADAMTS18	121.158651716489	254666
ADAMTS19	43.1438942802216	254310
ADAMTS2	27.4649674440814	254142
ADAMTS20	149.890315832753	253986
ADAMTS3	51.0030502318244	254656
ADAMTS4	50.5476070887343	254562
ADAMTS5	35.640731682482	254664
ADAMTS6	13.8016797966028	254078
ADAMTS7	80.5856495260838	254570
ADAMTS8	96.5484052597185	254566
ADAMTS9	65.3151284388525	254032
ADAMTSL1	69.2099637235435	254298
ADAMTSL2	10.0110897066142	254314
ADAMTSL3	108.762963790422	254040
ADAMTSL4	172.589542861152	254322
ADAMTSL5	51.2120578178573	253656
ADAP1	17.0651917894492	252980
ADAP2	43.185286664821	254584
ADAR	30.1708615515963	254308
ADARB1	7.93417562527439	254120
ADARB2	9.17321017637428	253936
ADAT1	67.2304256738831	254316
ADAT2	35.6244810344606	254550
ADAT3	36.3571246998018	244494
ADC	42.9098651215664	254042
ADCK1	66.223121332382	254842
ADCK2	76.2351698734844	254660
ADCK5	21.3960413123893	253918
ADCY1	22.1848089638403	254582
ADCY10	200.932455103942	254842
ADCY2	48.0556955374154	254048
ADCY3	49.5472709125865	254662
ADCY4	69.4656569818507	254124
ADCY5	21.260528008463	254292
ADCY6	44.0561320945833	254138
ADCY7	66.1472236956527	254342
ADCY8	30.5866019948628	254450
ADCY9	33.0955975814744	254836
ADCYAP1	4.42686916063832	254464
ADCYAP1R1	29.4043553208316	254318
ADD1	24.5482498226403	254320
ADD2	29.0844867845312	254104
ADD3	14.6495631249799	254032
ADH1A	50.6042601972973	254584
ADH1B	37.5917743630464	254416
ADH4	47.695627364807	254216
ADH5	39.7721525515708	254446
ADH6	51.6689054430406	254452
ADH7	35.7688743700459	254424
ADHFE1	38.0465912106324	254018
ADI1	29.4690844952077	254292
ADIPOQ	36.4456467048697	254668
ADIPOR1	5.6289974617527	254076
ADIPOR2	12.8193878089335	253770
ADIRF	12.2331028401588	253810
ADK	8.89250286971734	254592
ADM	117.593631531457	253932
ADM2	14.5087852914033	235134
ADM5	9.44595466828977	164492
ADNP	9.85504830610359	254420
ADNP2	21.2517324153418	254110
ADO	3.50865958393627	244352
ADORA1	8.38659428185478	254564
ADORA2A	14.6072402117585	254314
ADORA2B	22.5436935449321	254340
ADORA3	8.04248988708288	254552
ADPGK	34.9705516706205	254556
ADPRH	36.6459420637909	254672
ADPRHL1	37.8878093541175	254636
ADPRHL2	24.4964909502864	254554
ADPRM	29.562093379222	254316
ADRA1A	66.8454899548933	254788
ADRA1B	18.4914848151027	254010
ADRA2B	35.6886571507733	254138
ADRA2C	4.73150431777083	249132
ADRB2	4.42691381885406	254142
ADRB3	42.4045870268206	253632
ADRM1	4.76927969246901	238608
ADSL	32.2949105749285	254048
ADSS	10.1423923177255	254206
ADSSL1	48.5001452262531	254322
ADTRP	25.6285390958086	254336
AEBP1	103.593186477285	254044
AEBP2	37.3232645401649	131716
AEN	54.5683329800246	254284
AES	11.8265578245212	199880
AFAP1	38.8114199621514	254590
AFAP1L1	45.9871101515959	254090
AFAP1L2	34.8186018136182	254600
AFF1	30.5877891992454	254658
AFF3	15.7063273164346	254222
AFF4	11.6280182436376	254338
AFG3L2	48.19095944433	254138
AFM	55.1448445057569	253890
AFMID	63.2166268619197	254588
AFP	49.4437599084388	254008
AFTPH	17.4540573994658	254520
AGA	55.7935764176038	254594
AGAP1	10.5169955718913	254842
AGAP2	10.2120584721774	254840
AGAP2-AS1	0.583837820256595	254052
AGAP3	260.115923998953	254640
AGBL1	161.007722360205	254618
AGBL2	107.403809868724	254670
AGBL4	29.6072001845804	254470
AGBL5	82.1489707147872	254052
AGER	121.069659586087	254318
AGFG1	3.26899981887969	254268
AGFG2	44.8075822470098	254298
AGGF1	38.7735482470021	254090
AGK	48.4546773798414	254128
AGL	200.319570010843	254586
AGMAT	21.5317018631491	254582
AGMO	83.2342694224519	254550
